"tid","loc_name","loc_number","loc_type","address_1","country","region_code","hours_of_operation","state","city","postal_code","phone","latitude","longitude","services_included","contact","opening_date","RunDate","InsertUpdateTime","RunID"
24350,"Lincoln","1285","Warehouse","1620 PINE LAKE ROAD","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","NE","LINCOLN","68512-3612","(531) 333-7559","40.740257","-96.699317","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center; Diesel","","2017-10-28","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24351,"La Vista","1237","Warehouse","12515 PORTSIDE PARKWAY","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","NE","LA VISTA","68128-5622","(402) 378-7398","41.17795","-96.10429","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center; Diesel","","2016-10-26","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24352,"Omaha","1012","Warehouse","12300 W DODGE RD","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","NE","OMAHA","68154-2382","(402) 952-3240","41.263601","-96.102275","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2007-10-18","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24353,"Wichita","1200","Warehouse","9700 E KELLOGG","US","TE","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","KS","WICHITA","67207-1821","(316) 226-7142","37.67975","-97.224893","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center; Diesel","","2015-06-03","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24354,"Lenexa","349","Warehouse","9350 MARSHALL DR","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","KS","LENEXA","66215-3845","(913) 227-3703","38.958687","-94.731243","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2001-11-27","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24355,"N Kansas City","1268","Warehouse","1600 NW 88TH ST","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","MO","KANSAS CITY","64155-2410","(816) 857-7086","39.25469","-94.599115","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center; Diesel","","2017-05-18","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24356,"Overland Park","369","Warehouse","12221 BLUE VALLEY PKWY","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","KS","OVERLAND PARK","66213-2640","(913) 217-2050","38.9069","-94.670682","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2002-02-21","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24357,"Kansas City","375","Warehouse","241 E LINWOOD BLVD","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","MO","KANSAS CITY","64111-1119","(816) 216-0003","39.068352","-94.582584","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2001-01-12","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24358,"Independence","373","Warehouse","19040 E VALLEY VIEW PKWY","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","MO","INDEPENDENCE","64055-7004","(816) 200-2003","39.036082","-94.355813","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2001-10-18","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24359,"Sioux Falls","1159","Warehouse","3700 S GRANGE AVE","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","SD","SIOUX FALLS","57105-6359","(605) 988-9140","43.51246","-96.74089","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2013-10-03","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
