index,TID,loc_name,loc_number,loc_type,brand,address,city,state,neighborhood,postal_code,phone,latitude,longitude,hours_of_operation,services_included,RunID,RunDate,InsertUpdateTime,store_type
0,10326,Christiana Mall,00835,J,JEWELRY,"502 Christiana Mall Newark, DE 19702",Newark,DE,NEW CASTLE COUNTY,19702,3023667555.0,39.678008,-75.652355,Sun: 11:00 AM - 6:00 PM,,46272,2022-05-03 08:17:28,2022-05-03 12:24:46,Store
1,10327,Long Neck,00336,C,HART,"26370 Bay Farm Rd Millsboro, DE 19966",Millsboro,DE,SUSSEX COUNTY,19966,3029451705.0,38.6250628,-75.1946885,Sun - Sat: 6:00 AM - 10:00 PM,View Weekly Ad,46272,2022-05-03 08:17:28,2022-05-03 12:28:18,Store
2,10328,Bayside,00327,C,HART,"31221 Americana Pkwy Selbyville, DE 19975",Selbyville,DE,SUSSEX COUNTY,19975,3024362827.0,38.4700572,-75.113975,Sun - Sat: 6:00 AM - 10:00 PM,View Weekly Ad,46272,2022-05-03 08:17:28,2022-05-03 12:28:18,Store
3,10329,Weirton,00803,C,KROGER,"100 Saint Thomas Dr Weirton, WV 26062",Weirton,WV,BROOKE COUNTY,26062,3047235165.0,40.3967719,-80.5540849,Sun - Sat: 6:00 AM - 10:00 PM,Online Deli/Bakery Ordering|View Weekly Ad,46272,2022-05-03 08:17:28,2022-05-03 14:45:43,Store
4,10330,Hollywood Plaza,00512,C,KROGER,"264 S Hollywood Blvd Steubenville, OH 43952",Steubenville,OH,JEFFERSON COUNTY,43952,7402645057.0,40.3670513,-80.6398458,Sun - Sat: 6:00 AM - 10:00 PM,Online Deli/Bakery Ordering|View Weekly Ad,46272,2022-05-03 08:17:28,2022-05-03 14:45:43,Store
5,10331,Wellsburg,00268,F,KROGER,"91 27Th St Wellsburg, WV 26070",Wellsburg,WV,BROOKE COUNTY,26070,3042436220.0,40.2906033,-80.6089879,Sun - Sat: 7:00 AM - 10:00 PM,Online Deli/Bakery Ordering|View Weekly Ad,46272,2022-05-03 08:17:28,2022-05-03 14:45:43,Store
6,10332,Wintersville,00963,C,KROGER,"858 Main St Wintersville, OH 43953",Wintersville,OH,JEFFERSON COUNTY,43953,7402643248.0,40.3744036,-80.7035521,Sun - Sat: 7:00 AM - 10:00 PM,Online Deli/Bakery Ordering|View Weekly Ad,46272,2022-05-03 08:17:28,2022-05-03 14:45:43,Store
7,10333,Warwood,00202,F,KROGER,"1241 Warwood Ave Wheeling, WV 26003",Wheeling,WV,OHIO COUNTY,26003,3042773260.0,40.114094,-80.699739,Sun - Sat: 7:00 AM - 10:00 PM,View Weekly Ad,46272,2022-05-03 08:17:28,2022-05-03 14:45:43,Store
8,10334,Mt DeChantal,00562,C,KROGER,"200 Mount De Chantal Rd Wheeling, WV 26003",Wheeling,WV,OHIO COUNTY,26003,3042335480.0,40.0738199,-80.6996599,Sun - Sat: 6:00 AM - 10:00 PM,Online Deli/Bakery Ordering|View Weekly Ad,46272,2022-05-03 08:17:28,2022-05-03 14:45:43,Store
9,10335,Martins Ferry,00371,S,KROGER,"400 Aetna St Martins Ferry, OH 43935",Martins Ferry,OH,BELMONT COUNTY,43935,7406335017.0,40.0868407,-80.733012,Sun - Sat: 7:00 AM - 10:00 PM,Online Deli/Bakery Ordering|View Weekly Ad,46272,2022-05-03 08:17:28,2022-05-03 14:45:43,Store
10,10336,Bellaire,00558,C,KROGER,"400 28Th St Bellaire, OH 43906",Bellaire,OH,BELMONT COUNTY,43906,7406715164.0,40.0115573,-80.7474904,Sun - Sat: 7:00 AM - 10:00 PM,Online Deli/Bakery Ordering|View Weekly Ad,46272,2022-05-03 08:17:28,2022-05-03 14:45:43,Store
11,10337,St Clairsville,00812,C,KROGER,"50789 Valley Plaza Dr St. Clairsville, OH 43950",St. Clairsville,OH,BELMONT COUNTY,43950,7406957164.0,40.0756431,-80.8727375,Sun - Sat: 6:00 AM - 10:00 PM,Online Deli/Bakery Ordering|View Weekly Ad,46272,2022-05-03 08:17:28,2022-05-03 14:45:43,Store
12,10338,Moundsville,00977,C,KROGER,"1212 Lafayette Ave Moundsville, WV 26041",Moundsville,WV,MARSHALL COUNTY,26041,3048458116.0,39.9109599,-80.7459382,Sun - Sat: 7:00 AM - 10:00 PM,Online Deli/Bakery Ordering|View Weekly Ad,46272,2022-05-03 08:17:28,2022-05-03 14:45:53,Store
13,10339,Patteson Fuel,00814,I,KROGER,"3100 University Avenue Morgantown, WV 26505",Morgantown,WV,MONONGALIA COUNTY,26505,,39.6543128,-79.9699611,Sun - Sat: 24 Hours,View Weekly Ad,46272,2022-05-03 08:17:28,2022-05-03 14:45:53,Store
14,10340,Patteson,00714,C,KROGER,"350 Patteson Dr Morgantown, WV 26505",Morgantown,WV,MONONGALIA COUNTY,26505,3045995324.0,39.6504833,-79.9682114,Sun - Sat: 7:00 AM - 11:00 PM,Online Deli/Bakery Ordering|View Weekly Ad,46272,2022-05-03 08:17:28,2022-05-03 14:45:53,Store
15,10341,Suncrest,00813,C,KROGER,"500 Suncrest Town Centre Dr Morgantown, WV 26505",Morgantown,WV,MONONGALIA COUNTY,26505,3042856780.0,39.6508736,-79.9413753,Sun - Sat: 6:00 AM - 12:00 AM,Online Deli/Bakery Ordering|View Weekly Ad,46272,2022-05-03 08:17:28,2022-05-03 14:45:53,Store
