address,city,state,postal_code,latitude,longitude,brand,cheap,fresh,variety,friendly
"502 Christiana Mall Newark, DE 19702",Newark,DE,19702,39.678008,-75.652355,kroger,4,3,4,3
"26370 Bay Farm Rd Millsboro, DE 19966",Millsboro,DE,19966,38.6250628,-75.1946885,kroger,4,3,4,3
"31221 Americana Pkwy Selbyville, DE 19975",Selbyville,DE,19975,38.4700572,-75.113975,kroger,4,3,4,3
"100 Saint Thomas Dr Weirton, WV 26062",Weirton,WV,26062,40.3967719,-80.5540849,kroger,4,3,4,3
"264 S Hollywood Blvd Steubenville, OH 43952",Steubenville,OH,43952,40.3670513,-80.6398458,kroger,4,3,4,3
"91 27Th St Wellsburg, WV 26070",Wellsburg,WV,26070,40.2906033,-80.6089879,kroger,4,3,4,3
"858 Main St Wintersville, OH 43953",Wintersville,OH,43953,40.3744036,-80.7035521,kroger,4,3,4,3
"1241 Warwood Ave Wheeling, WV 26003",Wheeling,WV,26003,40.114094,-80.699739,kroger,4,3,4,3
"200 Mount De Chantal Rd Wheeling, WV 26003",Wheeling,WV,26003,40.0738199,-80.6996599,kroger,4,3,4,3
"400 Aetna St Martins Ferry, OH 43935",Martins Ferry,OH,43935,40.0868407,-80.733012,kroger,4,3,4,3
"400 28Th St Bellaire, OH 43906",Bellaire,OH,43906,40.0115573,-80.7474904,kroger,4,3,4,3
"50789 Valley Plaza Dr St. Clairsville, OH 43950",St. Clairsville,OH,43950,40.0756431,-80.8727375,kroger,4,3,4,3
"1212 Lafayette Ave Moundsville, WV 26041",Moundsville,WV,26041,39.9109599,-80.7459382,kroger,4,3,4,3
"3100 University Avenue Morgantown, WV 26505",Morgantown,WV,26505,39.6543128,-79.9699611,kroger,4,3,4,3
"350 Patteson Dr Morgantown, WV 26505",Morgantown,WV,26505,39.6504833,-79.9682114,kroger,4,3,4,3
"500 Suncrest Town Centre Dr Morgantown, WV 26505",Morgantown,WV,26505,39.6508736,-79.9413753,kroger,4,3,4,3
"1851 Earl L Core Rd Morgantown, WV 26505",Morgantown,WV,26505,39.6222006,-79.9249216,kroger,4,3,4,3
"102 Emily Dr Clarksburg, WV 26301",Clarksburg,WV,26301,39.279107,-80.279628,kroger,4,3,4,3
"22700 Sweetshrub Dr Clarksburg, MD 20871",Clarksburg,MD,20871,39.2295949,-77.2504013,kroger,4,3,4,3
"105 Purcellville Gateway Dr PURCELLVILLE, VA 20132",Purcellville,VA,20132,39.1364815,-77.6945836,kroger,4,3,4,3
"19350 Winmeade Drive Leesburg, VA 20176",Leesburg,VA,20176,39.0807101,-77.495512,kroger,4,3,4,3
"20070 Ashbrook Commons Plaza Suite 151 Ashburn, VA 20147",Ashburn,VA,20147,39.0603736,-77.4705422,kroger,4,3,4,3
"42780 Creek View Plaza ASHBURN, VA 20147",Ashburn,VA,20147,39.0435678,-77.5214942,kroger,4,3,4,3
"14101 Darnestown Rd Darnestown, MD 20874",Darnestown,MD,20874,39.1043626,-77.2916108,kroger,4,3,4,3
"11075 Resort Rd Ellicott City, MD 21042",Ellicott City,MD,21042,39.297814,-76.8973359,kroger,4,3,4,3
"323 Copley Place Gaithersburg, MD 20878",Gaithersburg,MD,20878,39.1153487,-77.207685,kroger,4,3,4,3
"3779 Boston St Baltimore, MD 21224",Baltimore,MD,21224,39.27487,-76.564865,kroger,4,3,4,3
"1801 Whetstone Way Baltimore, MD 21230",Baltimore,MD,21230,39.2677001,-76.5997946,kroger,4,3,4,3
"143 Ritchie Hwy N Severna Park, MD 21146",Severna Park,MD,21146,39.0982236,-76.561016,kroger,4,3,4,3
"8620 Guilford Rd Columbia, MD 21046",Columbia,MD,21046,39.1700226,-76.8642506,kroger,4,3,4,3
"18169 Town Center Dr Olney, MD 20832",Olney,MD,20832,39.1535417,-77.0619678,kroger,4,3,4,3
"8184 Westside Blvd Fulton, MD 20759",Fulton,MD,20759,39.1496753,-76.9112813,kroger,4,3,4,3
"14702 Baltimore Ave Laurel, MD 20707",Laurel,MD,20707,39.0929405,-76.8584304,kroger,4,3,4,3
"12525 Park Potomac Ave Potomac, MD 20854",Potomac,MD,20854,39.0614378,-77.1572299,kroger,4,3,4,3
"11845 Old Georgetown Rd Rockville, MD 20852",Rockville,MD,20852,39.0495356,-77.1092944,kroger,4,3,4,3
"28528 Marlboro Ave Easton, MD 21601",Easton,MD,21601,38.78566,-76.087276,kroger,4,3,4,3
"1201 First St NE Washington, DC 20002",Washington,DC,20002,38.9058758,-77.0055935,kroger,4,3,4,3
"1631 Kalorama Road NW Washington, DC 20009",Washington,DC,20009,38.9219804,-77.0384578,kroger,4,3,4,3
"401 M Street SE Washington, DC 20003",Washington,DC,20003,38.8758757,-77.0000152,kroger,4,3,4,3
