address,city,state,postal_code,latitude,longitude,brand,cheap,fresh,variety,friendly,city_state,state_full_name
"502 Christiana Mall Newark, DE 19702",Newark,DE,19702,39.678008,-75.652355,kroger,4,3,4,3,"Newark, DE",Delaware
"26370 Bay Farm Rd Millsboro, DE 19966",Millsboro,DE,19966,38.6250628,-75.1946885,kroger,4,3,4,3,"Millsboro, DE",Delaware
"31221 Americana Pkwy Selbyville, DE 19975",Selbyville,DE,19975,38.4700572,-75.113975,kroger,4,3,4,3,"Selbyville, DE",Delaware
"100 Saint Thomas Dr Weirton, WV 26062",Weirton,WV,26062,40.3967719,-80.5540849,kroger,4,3,4,3,"Weirton, WV",West Virginia
"264 S Hollywood Blvd Steubenville, OH 43952",Steubenville,OH,43952,40.3670513,-80.6398458,kroger,4,3,4,3,"Steubenville, OH",Ohio
"91 27Th St Wellsburg, WV 26070",Wellsburg,WV,26070,40.2906033,-80.6089879,kroger,4,3,4,3,"Wellsburg, WV",West Virginia
"858 Main St Wintersville, OH 43953",Wintersville,OH,43953,40.3744036,-80.7035521,kroger,4,3,4,3,"Wintersville, OH",Ohio
"1241 Warwood Ave Wheeling, WV 26003",Wheeling,WV,26003,40.114094,-80.699739,kroger,4,3,4,3,"Wheeling, WV",West Virginia
"200 Mount De Chantal Rd Wheeling, WV 26003",Wheeling,WV,26003,40.0738199,-80.6996599,kroger,4,3,4,3,"Wheeling, WV",West Virginia
"400 Aetna St Martins Ferry, OH 43935",Martins Ferry,OH,43935,40.0868407,-80.733012,kroger,4,3,4,3,"Martins Ferry, OH",Ohio
"400 28Th St Bellaire, OH 43906",Bellaire,OH,43906,40.0115573,-80.7474904,kroger,4,3,4,3,"Bellaire, OH",Ohio
"50789 Valley Plaza Dr St. Clairsville, OH 43950",St. Clairsville,OH,43950,40.0756431,-80.8727375,kroger,4,3,4,3,"St. Clairsville, OH",Ohio
"1212 Lafayette Ave Moundsville, WV 26041",Moundsville,WV,26041,39.9109599,-80.7459382,kroger,4,3,4,3,"Moundsville, WV",West Virginia
"3100 University Avenue Morgantown, WV 26505",Morgantown,WV,26505,39.6543128,-79.9699611,kroger,4,3,4,3,"Morgantown, WV",West Virginia
"350 Patteson Dr Morgantown, WV 26505",Morgantown,WV,26505,39.6504833,-79.9682114,kroger,4,3,4,3,"Morgantown, WV",West Virginia
"500 Suncrest Town Centre Dr Morgantown, WV 26505",Morgantown,WV,26505,39.6508736,-79.9413753,kroger,4,3,4,3,"Morgantown, WV",West Virginia
"1851 Earl L Core Rd Morgantown, WV 26505",Morgantown,WV,26505,39.6222006,-79.9249216,kroger,4,3,4,3,"Morgantown, WV",West Virginia
